sql_column,json_column,r_type
id,id,numeric
dob,dob,character
facility_mfl_code,facility_mfl_code,numeric
facility_name,facility_name,character
county,county,character
sub_county,sub_county,character
vl_lab_name,vl_lab_name,character
molecular_lab_name,molecular_lab_name,character
vl_lab_type,vl_lab_type,character
vl_date_collected,vl_date_collected,date
vl_date_received,vl_date_received,date
vl_date_tested,vl_date_tested,date
vl_rejection_reason,vl_rejection_reason,character
dispatch_date_to_vl_lab,dispatch_date_to_vl_lab,date
dispatch_date_to_lag_lab,dispatch_date_to_lag_lab,date
vl_remnant_sample_available,vl_remnant_sample_available,character
lag_sample_type,lag_sample_type,character
date_lag_tested,date_lag_tested,date
lag_received_at,lag_received_at,date
lag_received_by,lag_received_by,character
lag_status,lag_status,character
lag_received_notes,lag_received_notes,character
lag_final_classification,lag_final_classification,character
lag_result,lag_result,character
lag_final_odn,lag_final_odn,character
vl_result,vl_result,character
vl_poc_mfl_code,vl_poc_mfl_code,character
recency_id,recency_id,character
created_at,created_at,datetime
